ACTL6A
ACTL6B
ACTR10
ADGRL2
AHCTF1
AK057244
AK092775
ALG12
ALG3
ALG6
ALG8
ALS2CR11
AOX1
AP1M1
AP1M2
AP2A1
AP2A2
AP4E1
AP4S1
ARL16
ARMC9
ARPC5
ARPC5L
ASCC2
ATG3
ATG9A
ATG9B
ATP6V1A
ATXN10
BABAM1
BAZ1B
BC041424
BRAF
BRCC3
BRF1
BRMS1
BRMS1L
BRWD2
BTAF1
BXDC5
C10ORF11
C10ORF119
C11ORF10
C11ORF80
C14ORF147
c14orf39
C14ORF93
C16ORF59
C16ORF62
C17ORF56
C17ORF75
C18ORF63
C19ORF54
C1ORF109
C1ORF112
C1ORF228
C1ORF27
C1ORF71
C20ORF194
C21ORF33
C2CD3
C2ORF34
C3orf17
C3ORF20
C4ORF29
C5ORF34
C6ORF170
CACNA1A
CACNA1B
CACNA1C
CACNA1D
CACNA1E
CACNA1G
CACNA1H
CACNA1I
CACNA1S
CACNA2D1
CACNA2D2
CACNA2D3
CACNA2D4
CAPN1
CAPN11
CAPN13
CAPN2
CAPN9
CAPNS1
CATSPER2
CATSPER2P1
CCDC134
CCDC28A
CCDC28B
CCDC43
CCDC56
CCNK
CCNT1
CCNT2
CDC45L
CDK5
CECR5
CEP164
CEP170
CEP41
CFAP44
CFAP46
CFAP69
CFAP74
CGRRF1
CHD1L
CHD3
CHD4
CHD5
CHST5
CLCN6
CLCN7
CNIH4
CRAMP1L
CRNKL1
CRTC1
CRTC2
CRTC3
CRYZL1
CTAG1B
CTAG2
CTNNBL1
CUEDC1
CUL1
CUL2
CUL4A
CUL4B
CYBA
DAP3
DCP2
DCTN3
DCTN6
DDB1
DDX18
DDX54
DEADC1
DERL1
DERL2
DERL3
DIAPH1
DIAPH2
DIAPH3
DISC1
DMC1
DNA2L
DOCK1
DOCK2
DOCK3
DOCK4
DOCK5
DRAM
DRAP1
DRG2
dusar
DYNC1LI1
DYNC1LI2
E2F1
E2F2
E2F3
E2F4
E2F5
E2F6
EDC4
EED
EFTUD1
EIF3I
EIF3K
ELOF1
EML1
EML2
EML3
EML4
ERCC5
EXO1
EXOSC1
EXOSC2
EXOSC5
EXOSC9
FAM194A
FAM96B
FCHO1
FCHO2
FIG4
FKBP3
FRA10AC1
GAK
GALK2
GARNL3
GARS
GBE1
GBP1
GBP1P1
GBP2
GBP3
GBP4
GBP5
GBP6
GMFB
GOLGA7
GOSR1
GPAA1
GPN1
GPN2
GTF2H3
HAL
HARS
HARSL
HECTD2
HH114
HIP1
HIP1R
HMBS
HNRPL
HNRPLL
HNRPM
HPS1
HSBP1
HSBP1L1
HTT
IFT122
IFT74
IFT80
IFT88
IHPK1
IHPK3
IK
INO80D
INPP5B
INSIG1
INSIG2
INTS10
INTS4
INTS4P1
INTS4P2
INTS7
INTS8
IP6K2
IPO11
IPO4
IPO9
KANSL2
KCMF1
KIAA0284
KIAA0556
KIAA0892
KIAA0947
KIAA0963
KIAA1012
KIAA1328
KIAA1377
KIAA1468
KIAA1524
KIF6
KIFAP3
KRTCAP2
LAGE3
LAMB4
LLGL1
LLGL2
LMBR1
LMBR1L
LOC646851
LOC648809
LRGUK
LRRC48
LSG1
LSM12
LSM5
LSM8
LZTR1
MAEA
MAGT1
MAPK1
MAPK10
MAPK11
MAPK12
MAPK13
MAPK14
MAPK8
MAPK9
6-Mar
MATN1
MATN2
MATN3
MATN4
MBTPS2
MCTS1
MED14
MED23
MIOS
MLST8
MLXIP
MLXIPL
MORC3
MORC4
MROH1
MSH3
MTBP
MTG1
MTRF1
MYCBP
MYEF2
MYH10
MYH11
MYH14
MYH9
MYO10
MYO1E
MYO1F
MYO7A
MYO7B
MYSM1
NAA60
NAIP
NAPG
NARG1
NARG1L
NAT10
NAT5
NBR2
NCBP1
NCBP2
NEDD1
NIP30
NLK
NOL1
NOL11
NOL8
NOLA1
NUP107
NUP155
NUP160
NUP205
NUP210
NUP210L
OBSCN
OCA2
OCRL
ORC3
OXCT1
PAF53
PARP1
PAXIP1
PCID2
PCNX
PCNXL2
PCNXL3
PCTP
PCYT2
PDCD11
PDE4D
PDE6D
PDPK1
PEX16
PFDN5
PHB2
PHC1
PHYH
PIGB
PIGN
PLCB1
PLCB2
PLCB3
PLCB4
PLCD1
PLCD3
PLCH2
PLCL3
POLA2
POLE2
POLR2E
POLR2K
POLR3C
POLR3H
PPIL4
PPME1
PPP2R2A
PPP2R2B
PPP2R2C
PPP2R2D
PPP5C
PQLC2
PQLC3
PRIM1
PRMT1
PROX1
PSMA1
PSMC4
PSRC2
PTEN
PUS10
RAB41
RAB6A
RAB6B
RABGGTA
RABL2A
RABL2B
RAF1
RALGAPA1
RALGAPA2
RANBP17
RANBP5
RAPGEF1
RAPGEF3
RAPGEF4
RAPGEF5
RAPGEFL1
RASGRP1
RASGRP2
RASGRP3
RBM35A
RCL1
RECQL5
RFC5
RFX5
RFXDC2
RHBDD2
RINT1
RKHD1
RNF121
RNF123
RNF175
RNF220
RNPC3
RPL4
RPP30
RSG1
SACM1L
SBNO1
SCN10A
SCN11A
SCN2A2
SCN3A
SCN4A
SCN5A
SCN7A
SCN8A
SCN9A
SELM
SETD1A
SETD1B
SFI1
SFRS13
SGIP1
SLC12A4
SLC12A5
SLC12A6
SLC12A7
SLC24A6
SLC25A14
SLC25A30
SLC30A5
SLC35B4
SLC35E3
SLC44A2
SLC44A4
SLC44A5
SLC9A6
SLC9A7
SLC9A8
SLC9A9
slervar.a
SMAP1
SMAP2
SMC3
SMPD4
SMS
SMYD2
SMYD3
SNRPE
SNX15
SPAG16
SPAG17
SPBC24
SPCS2
SPCS3
SPEG
SPG11
SPO11
SRI
SRP68
SRP72
SRPK1
SRPK2
SRPK3
SRrp35
SSR2
SSR3
SSU72
STK11
STX10
STX6
STX8
STXBP5
STXBP5L
SUDS3
SYT16
TAF1C
TAF2
TAF7L
TAPT1
TBCE
TBCK
TCEA1
TCEA2
TCEA3
TCP1
TCTN1
TCTN3
TGS1
THOC2
TM2D1
TMEM107
TMEM150A
TMEM150C
TMEM161A
TMEM161B
TMEM181
TMEM188
TMEM33
TMEM41B
TMEM44
TMEM77
TMEM80
TMEM87A
TMEM87B
TNPO1
TNPO2
TRA16
TRAIP
TRAPPC10
TRAPPC11
TRAPPC2
TRAPPC2L
TRAPPC9
TRIT1
TSPAN13
TSPAN31
TSPY2
TSPYL2
TSTA3
TTC23
TTC23L
TTLL9
TUSC3
TXNRD2
UBE1C
UBE2H
UBL5
UBR3
UBXD2
UFD1L
UPF1
USO1
USP10
USP14
USP2
USP21
VAC14
VASH1
VASH2
VBP1
VEZT
VprBP
VPS11
VPS16
VPS25
VPS35
VPS52
WDFY1
WDFY2
WDR1
WDR21A
WDR27
WDR41
WDR91
WLS
XDH
XPO4
XPO5
XPO7
XRCC5
ZC3H4
ZC3H6
ZC3H8
ZC3HC1
ZCCHC8
ZDHHC1
ZDHHC11
ZDHHC13
ZDHHC14
ZDHHC14
ZDHHC16
ZDHHC17
ZDHHC18
ZDHHC19
ZDHHC5
ZDHHC8
ZDHHC9
ZNF207
ZNF259
